date,etf,ticker,weight,icc
2026-07-16,XLE,KMI,0.0432,0.0443159743534476
2026-07-16,XLE,TRGP,0.0393,0.0500222362210628
2026-07-16,XLE,OKE,0.0383,0.0822729772354858
2026-07-16,XLE,BKR,0.036699999999999997,0.091134437232725
2026-07-16,XLE,DVN,0.032400000000000005,0.0723330654134554
2026-07-16,XLE,OXY,0.024700000000000003,0.0644433282836759
2026-07-16,XLE,FANG,0.0235,0.0717812366595511
2026-07-16,XLE,EQT,0.0225,0.0849120186988056
2026-07-16,XLE,HAL,0.0192,0.1236119346307224
2026-07-16,XLE,TPL,0.016200000000000003,0.0375457601581995
2026-07-16,XLE,EXE,0.0148,0.0745141819356068
2026-07-16,XLE,APA,0.008,0.1008381823172951
2026-07-16,XLI,CAT,0.0766,0.068170882061683
2026-07-16,XLI,GE,0.0658,0.0621845980082952
2026-07-16,XLI,GEV,0.05,0.0272289715440283
2026-07-16,XLI,RTX,0.0472,0.0481913842279592
2026-07-16,XLI,UNP,0.030600000000000002,0.0590240570003436
2026-07-16,XLI,BA,0.030299999999999997,0.024054206187369
2026-07-16,XLI,ETN,0.0279,0.0628052082540538
2026-07-16,XLI,UBER,0.027000000000000003,0.134223135112656
2026-07-16,XLI,DE,0.0263,0.0740965187891072
2026-07-16,XLI,PH,0.021400000000000002,0.0465564162989072
2026-07-16,XLI,VRT,0.021,0.0778259296951085
2026-07-16,XLI,HWM,0.0194,0.0434033595946239
2026-07-16,XLI,TT,0.0189,0.0567102402965004
2026-07-16,XLI,LMT,0.0189,0.0719880319798426
2026-07-16,XLI,ADP,0.0179,0.0563818101655902
2026-07-16,XLI,PWR,0.0173,0.0459291007938037
2026-07-16,XLI,GD,0.0169,0.0627298282124292
2026-07-16,XLI,CSX,0.0165,0.0638883732622832
2026-07-16,XLI,CMI,0.016399999999999998,0.0705962092312509
2026-07-16,XLI,JCI,0.015700000000000002,0.0684577024663178
