ticker,country,market_cap,sector,yf_name,quote_type,name,exchange,source,company,country_final,rank_in_country,ICC,mktcap,name_icc,sector_icc,weight_mktcap,country_region
CLLS,France,393310784.0,Healthcare,Cellectis S.A.,EQUITY,Cellectis S.A. - American Depositary Shares,NASDAQ,nasdaq_trader_symbol_directories,Cellectis S.A. - American Depositary Shares,France,9,,,,,393310784.0,France
IPHA,France,128545984.0,Healthcare,Innate Pharma S.A.,EQUITY,Innate Pharma S.A. - American Depositary Shares,NASDAQ,nasdaq_trader_symbol_directories,Innate Pharma S.A. - American Depositary Shares,France,10,,,,,128545984.0,France
SAP,Germany,192460701696.0,Technology,SAP  SE,EQUITY,SAP  SE ADS,N,nasdaq_trader_symbol_directories,SAP  SE ADS,Germany,1,0.08629351461969831,202092576768.0,SAP  SE,Technology,202092576768.0,Germany
BNTX,Germany,26694461440.0,Healthcare,BioNTech SE,EQUITY,BioNTech SE - American Depositary Shares,NASDAQ,nasdaq_trader_symbol_directories,BioNTech SE - American Depositary Shares,Germany,2,,,,,26694461440.0,Germany
FMS,Germany,12425396224.0,Healthcare,Fresenius Medical Care AG,EQUITY,Fresenius Medical Care AG American Depositary Shares (Each representing 1/2 of an Ordinary Share),N,nasdaq_trader_symbol_directories,Fresenius Medical Care AG American Depositary Shares (Each representing 1/2 of an Ordinary Share),Germany,3,0.1656399680761091,12376219648.0,Fresenius Medical Care AG,Healthcare,12376219648.0,Germany
LUXE,Germany,1239472256.0,Consumer Cyclical,LuxExperience B.V.,EQUITY,"LuxExperience B.V. American Depositary Shares, each representing one Ordinary Share",N,nasdaq_trader_symbol_directories,"LuxExperience B.V. American Depositary Shares, each representing one Ordinary Share",Germany,4,,,,,1239472256.0,Germany
EVO,Germany,1147257472.0,Healthcare,Evotec SE,EQUITY,Evotec SE - American Depositary Shares each representing 1/2 of one ordinary share,NASDAQ,nasdaq_trader_symbol_directories,Evotec SE - American Depositary Shares each representing 1/2 of one ordinary share,Germany,5,,,,,1147257472.0,Germany
JMIA,Germany,883069184.0,Consumer Cyclical,Jumia Technologies AG,EQUITY,"Jumia Technologies AG American Depositary Shares, each representing two Ordinary Shares",N,nasdaq_trader_symbol_directories,"Jumia Technologies AG American Depositary Shares, each representing two Ordinary Shares",Germany,6,,,,,883069184.0,Germany
TRVG,Germany,195616496.0,Communication Services,trivago N.V.,EQUITY,trivago N.V. - American Depositary Shares,NASDAQ,nasdaq_trader_symbol_directories,trivago N.V. - American Depositary Shares,Germany,7,0.07628790327052715,197735072.0,trivago N.V.,Communication Services,197735072.0,Germany
XCH,Germany,61235080.0,Industrials,XCHG Limited,EQUITY,XCHG Limited - ADS,NASDAQ,nasdaq_trader_symbol_directories,XCHG Limited - ADS,Germany,8,,,,,61235080.0,Germany
BABA,Hong Kong,324980473856.0,Consumer Cyclical,Alibaba Group Holding Limited,EQUITY,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,N,nasdaq_trader_symbol_directories,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,Hong Kong,1,0.32032664484388007,328854601728.0,Alibaba Group Holding Limited,Consumer Cyclical,328854601728.0,Hong Kong
FUTU,Hong Kong,21615185920.0,Financial Services,Futu Holdings Limited,EQUITY,Futu Holdings Limited - American Depositary Shares,NASDAQ,nasdaq_trader_symbol_directories,Futu Holdings Limited - American Depositary Shares,Hong Kong,2,0.2834824728433475,21875947520.0,Futu Holdings Limited,Financial Services,21875947520.0,Hong Kong
SIMO,Hong Kong,4825681408.0,Technology,Silicon Motion Technology Corpo,EQUITY,"Silicon Motion Technology Corporation - American Depositary Shares, each representing four ordinary shares",NASDAQ,nasdaq_trader_symbol_directories,"Silicon Motion Technology Corporation - American Depositary Shares, each representing four ordinary shares",Hong Kong,3,0.055327681809317616,7719731200.0,Silicon Motion Technology Corpo,Technology,7719731200.0,Hong Kong
HCM,Hong Kong,2384930816.0,Healthcare,HUTCHMED (China) Limited,EQUITY,HUTCHMED (China) Limited - American Depositary Shares,NASDAQ,nasdaq_trader_symbol_directories,HUTCHMED (China) Limited - American Depositary Shares,Hong Kong,4,0.0885392117338499,2273184000.0,HUTCHMED (China) Limited,Healthcare,2273184000.0,Hong Kong
MLCO,Hong Kong,2302442752.0,Consumer Cyclical,Melco Resorts & Entertainment L,EQUITY,Melco Resorts & Entertainment Limited - American Depositary Shares ,NASDAQ,nasdaq_trader_symbol_directories,Melco Resorts & Entertainment Limited - American Depositary Shares ,Hong Kong,5,0.17697527513304678,2221084416.0,Melco Resorts & Entertainment L,Consumer Cyclical,2221084416.0,Hong Kong
MSC,Hong Kong,481470432.0,Consumer Cyclical,Studio City International Holdi,EQUITY,"Studio City International Holdings Limited American depositary shares, each representing four  Class A ordinary shares",N,nasdaq_trader_symbol_directories,"Studio City International Holdings Limited American depositary shares, each representing four  Class A ordinary shares",Hong Kong,6,,,,,481470432.0,Hong Kong
UCL,Hong Kong,45710700.0,Communication Services,uCloudlink Group Inc.,EQUITY,uCloudlink Group Inc. - American Depositary Shares,NASDAQ,nasdaq_trader_symbol_directories,uCloudlink Group Inc. - American Depositary Shares,Hong Kong,7,0.010000000000000002,45710700.0,uCloudlink Group Inc.,Communication Services,45710700.0,Hong Kong
INFY,India,52363505664.0,Technology,Infosys Limited,EQUITY,Infosys Limited American Depositary Shares,N,nasdaq_trader_symbol_directories,Infosys Limited American Depositary Shares,India,1,0.07809493365009768,49530859520.0,Infosys Limited,Technology,49530859520.0,India
SIFY,India,1128666240.0,Communication Services,Sify Technologies Limited - Ame,EQUITY,Sify Technologies Limited - American Depository Shares,NASDAQ,nasdaq_trader_symbol_directories,Sify Technologies Limited - American Depository Shares,India,2,0.026390399378469917,1060656832.0,Sify Technologies Limited - Ame,Communication Services,1060656832.0,India
PDD,Ireland,138798825472.0,Consumer Cyclical,PDD Holdings Inc.,EQUITY,PDD Holdings Inc. - American Depositary Shares,NASDAQ,nasdaq_trader_symbol_directories,PDD Holdings Inc. - American Depositary Shares,Ireland,1,0.3345437700920245,139193942016.0,PDD Holdings Inc.,Consumer Cyclical,139193942016.0,Ireland
