date,family,group,daily_icc,ew_icc,n_firms,method,source_file
2025-11-17,industry,Industrials,0.06809809812016913,0.09520764623191486,434,ICC calculation,data/202511/icc_live_usall_2025_1117.csv
2025-11-17,industry,Real Estate,0.06732807721951033,0.09621964300977497,180,ICC calculation,data/202511/icc_live_usall_2025_1117.csv
2025-11-17,industry,Technology,0.07068604362594641,0.08685676757090385,486,ICC calculation,data/202511/icc_live_usall_2025_1117.csv
2025-11-17,industry,Utilities,0.07917928558780425,0.08877285806502236,90,ICC calculation,data/202511/icc_live_usall_2025_1117.csv
2025-11-18,industry,Basic Materials,0.09657377264191135,0.11843218488694401,159,ICC calculation,data/202511/icc_live_usall_2025_1118.csv
2025-11-18,industry,Communication Services,0.062152344373461385,0.1260758012919558,160,ICC calculation,data/202511/icc_live_usall_2025_1118.csv
2025-11-18,industry,Consumer Cyclical,0.08322880243563176,0.11464631408778787,391,ICC calculation,data/202511/icc_live_usall_2025_1118.csv
2025-11-18,industry,Consumer Defensive,0.06772509108068961,0.1086259407658252,157,ICC calculation,data/202511/icc_live_usall_2025_1118.csv
2025-11-18,industry,Energy,0.09660100249620125,0.12184517808074048,186,ICC calculation,data/202511/icc_live_usall_2025_1118.csv
2025-11-18,industry,Financial Services,0.08892106893879567,0.12134830231277978,630,ICC calculation,data/202511/icc_live_usall_2025_1118.csv
2025-11-18,industry,Healthcare,0.07997985677449165,0.09077271962054739,310,ICC calculation,data/202511/icc_live_usall_2025_1118.csv
2025-11-18,industry,Industrials,0.06830713269253234,0.0949384757230149,434,ICC calculation,data/202511/icc_live_usall_2025_1118.csv
2025-11-18,industry,Real Estate,0.06611284283152112,0.09518468688861668,180,ICC calculation,data/202511/icc_live_usall_2025_1118.csv
2025-11-18,industry,Technology,0.07140077496780611,0.08696684350240409,487,ICC calculation,data/202511/icc_live_usall_2025_1118.csv
2025-11-18,industry,Utilities,0.07994789291574618,0.08934984461724652,90,ICC calculation,data/202511/icc_live_usall_2025_1118.csv
2025-11-19,industry,Basic Materials,0.09552790339296494,0.11736915791377016,159,ICC calculation,data/202511/icc_live_usall_2025_1119.csv
2025-11-19,industry,Communication Services,0.06132676804156823,0.12635217786085992,160,ICC calculation,data/202511/icc_live_usall_2025_1119.csv
2025-11-19,industry,Consumer Cyclical,0.08233190976120006,0.1144521533561561,391,ICC calculation,data/202511/icc_live_usall_2025_1119.csv
2025-11-19,industry,Consumer Defensive,0.06799760891731442,0.10887058567778,157,ICC calculation,data/202511/icc_live_usall_2025_1119.csv
2025-11-19,industry,Energy,0.09771552799078337,0.12223379647589201,186,ICC calculation,data/202511/icc_live_usall_2025_1119.csv
2025-11-19,industry,Financial Services,0.08875591138266804,0.12106723427436289,632,ICC calculation,data/202511/icc_live_usall_2025_1119.csv
